,name,IATA-kod,ICAO-kod,pass_2019,pass_2020,geometry,status,type
0,Stockholm-Arlanda flygplats,ARN,ESSA,25 642 703,6 535 776,POINT (17.93861961 59.64980316),open,Swd
1,Göteborg-Landvetter flygplats,GOT,ESGG,6 671 361,1 576 787,POINT (12.28727818 57.66451263),open,Swd
2,Stockholm-Bromma flygplats,BMA,ESSB,2 354 051,479 400,POINT (17.94678307 59.35702896),open,Swd
3,Malmö Airport (Sturup),MMX,ESMS,1 975 842,526 154,POINT (13.3716898 55.53546143),open,Swd
4,Luleå-Kallax flygplats,LLA,ESPA,1 162 424,420 231,POINT (22.11975479 65.54638672),open,Swd
5,Umeå Airport,UME,ESNU,960 284,292 731,POINT (20.28625488 63.79077911),open,Swd
6,Åre Östersunds flygplats,OSD,ESNZ,473 628,140 586,POINT (16.6271988 59.60213195),open,Swd
7,Visby flygplats,VBY,ESSV,446 864,122 744,POINT (18.34523964 57.66231918),open,Swd
8,Kiruna flygplats,KRN,ESNQ,267 916,110 456,POINT (20.33342934 67.8212738),open,Swd
9,Ronneby Airport,RNB,ESDF,204 679,50 864,POINT (15.27101803 56.26460266),open,Swd
10,Arvidsjaurs flygplats,AJR,ESNX,58769,40 030,POINT (19.27456284 65.59220886),open,P
11,"Borlänge, Dala Airport",BLE,ESSD,21377,4 794,POINT (15.51051712 60.42327499),open,P
12,Gällivare Lapland Airport,GEV,ESNG,27138,8 748,POINT (20.81499672 67.13253784),open,P
13,Hagfors flygplats,HFS,ESOH,3299,659,POINT (13.57822037 60.02272034),open,P
14,Halmstads flygplats,HAD,ESMT,124415,31 584,POINT (12.85748291 56.67398071),open,P
15,Hemavan Tärnaby Airport,HMV,ESUT,12075,5 583,POINT (15.08346176 65.80632019),open,P
16,Jönköpings flygplats,JKG,ESGJ,66601,12 172,POINT (14.16571903 57.78256226),open,P
17,Kalmar flygplats,KLR,ESMQ,232049,52 868,POINT (16.28347778 56.68473816),open,P
18,Karlstads flygplats,KSD,ESOK,52009,10 900,POINT (13.50276279 59.38091278),open,P
19,Kramfors-Sollefteå Höga Kusten Airport,KRF,ESNK,8489,1 772,POINT (17.76606178 63.04914474),open,P
20,Kristianstad Österlen Airport,KID,ESMK,40444,6 442,POINT (14.08672428 55.91998291),open,P
21,Linköping-Saabs flygplats,LPI,ESSL,144585,33 525,POINT (15.62452507 58.40981293),open,P
22,Lycksele flygplats,LYC,ESNL,18048,6 530,POINT (18.71338844 64.54975128),open,P
23,Norrköping-Kungsängens flygplats,NRK,ESSP,103298,17 899,POINT (16.6271988 59.60213195),open,P
24,Pajala Airport,PJA,ESUP,6315,935,POINT (23.36472893 67.20903778),open,P
25,Skellefteå flygplats,SFT,ESNS,287098,94 699,POINT (21.08051109 64.6242218),open,P
26,Stockholm-Skavsta flygplats (Nyköping),NYO,ESKN,2296310,573 229,POINT (16.92242432 58.78472519),open,P
27,Stockholm-Västerås flygplats,VST,ESOW,109133,36 968,POINT (16.54636765 59.61109924),open,P
28,Sundsvall-Timrå flygplats (Midlanda),SDL,ESNN,231814,42 800,POINT (17.3071022 62.3907547),open,P
29,Sveg Härjedalens flygplats,EVG,ESND,5525,2 380,POINT (16.6271988 59.60213195),open,P
30,Sälen-Scandinavian Mountains flygplats,SCR,ESKS,773,14 157,POINT (12.841667 61.158333),open,P
31,Torsby flygplats  (Fryklanda),TYF,ESST,2494,277,POINT (13.00678825 60.13552094),open,P
32,Trollhättan-Vänersborgs flygplats,THN,ESGT,37634,6 057,POINT (12.34457207 58.31798935),open,P
33,Vilhelmina flygplats,VHM,ESNV,12387,5 489,POINT (16.65439224 64.6257019),open,P
34,Växjö-Kronobergs flygplats,VXO,ESMX,278397,50 273,POINT (14.7322894 56.92434045),open,P
35,Ängelholm-Helsingborg flygplats,AGH,ESTA,386519,110 142,POINT (16.6271988 59.60213195),open,P
36,Örebro flygplats,ORB,ESOE,77259,13 114,POINT (15.05159173 59.24286598),open,P
37,Örnsköldsvik Airport,OER,ESNO,85541,14 976,POINT (18.71602058 63.28886032),open,P
